"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-04","Andalucía",420793,100.0,618260,95.1,193285,21.1,264106,20.9,133603,9.6,129009,7.9,20786,3.3,414,0.2,1780256,7062213,25.2
"2021-06-04","Aragón",98295,99.5,113037,95.0,40440,25.9,28428,14.3,15188,7.1,15147,6.6,3769,4.2,43,0.2,314347,1132764,27.8
"2021-06-04","Asturias",86496,98.5,108478,99.3,29216,19.5,39853,24.5,19523,11.7,16188,10.4,4025,7.4,41,0.3,303820,901209,33.7
"2021-06-04","Baleares",49089,99.1,71363,88.6,7084,6.0,20869,12.6,11082,5.4,12853,5.0,1794,2.1,36,0.2,174170,986279,17.7
"2021-06-04","Canarias",87190,96.6,136449,88.3,25684,10.9,69096,19.7,25794,6.6,23298,5.2,3516,2.1,62,0.1,371089,1871033,19.8
"2021-06-04","Cantabria",41402,100.0,54129,100.0,18323,23.7,10124,11.3,6604,6.8,6574,6.8,780,2.2,7,0.1,137943,501384,27.5
"2021-06-04","Castilla y León",224463,100.0,242982,99.0,98319,30.9,55909,14.7,31721,8.7,29047,7.7,4494,3.1,109,0.3,687044,2092873,32.8
"2021-06-04","Castilla la Mancha",134399,99.4,152256,95.7,45046,20.6,63456,20.6,23189,7.0,20319,5.4,4530,3.0,101,0.2,443296,1719964,25.8
"2021-06-04","Cataluña",443099,99.1,569935,89.7,82113,9.8,223744,20.5,119324,9.1,115006,7.7,28625,5.1,457,0.3,1582303,6531658,24.2
"2021-06-04","C. Valenciana",287811,100.0,403059,92.1,161639,27.8,95656,12.7,38913,4.6,40847,4.5,6477,1.8,149,0.1,1034551,4269305,24.2
"2021-06-04","Extremadura",76432,100.0,90164,98.1,44993,35.9,30477,18.0,11688,7.3,11220,5.8,1182,1.6,63,0.3,266219,911213,29.2
"2021-06-04","Galicia",237051,100.0,279289,96.4,75756,21.8,103001,25.4,28334,6.4,25023,5.6,2519,1.6,39,0.1,751012,2362643,31.8
"2021-06-04","La Rioja",22939,100.0,27939,99.3,14717,39.0,8073,16.9,2948,5.6,2682,4.9,479,2.3,10,0.2,79787,270788,29.5
"2021-06-04","Madrid",361709,99.3,473210,90.0,117070,16.6,187735,19.3,74620,6.4,84765,6.3,17449,3.6,321,0.2,1316879,5695623,23.1
"2021-06-04","Murcia",71457,100.0,92307,89.7,36014,24.5,40226,18.9,23024,9.1,22851,7.7,5602,4.7,122,0.4,291603,1237479,23.6
"2021-06-04","Navarra",41664,100.0,54548,97.8,17144,23.2,26543,27.5,9068,8.4,8686,7.6,1329,2.7,8,0.1,158990,552935,28.8
"2021-06-04","País Vasco",158625,100.4,202259,94.9,52685,18.8,62050,18.3,21888,6.0,21703,6.0,4162,3.0,30,0.1,523402,1898123,27.6
"2021-06-04","Ceuta",2288,87.8,3567,82.6,1538,19.6,3359,29.1,1412,11.2,1141,6.5,293,3.9,7,0.3,13605,66158,20.6
"2021-06-04","Melilla",1813,77.2,2859,76.3,2139,27.3,3329,29.5,1659,13.8,1535,8.5,211,2.5,6,0.3,13551,66178,20.5
"2021-06-04","España",2847022,100.0,3696096,93.3,1063850,19.9,1337959,19.0,603300,7.6,594195,6.7,112762,3.4,2025,0.2,10257209,40129822,25.6
"2021-06-07","Andalucía",421013,100.0,620292,95.4,198271,21.6,305429,24.1,145553,10.5,139026,8.6,21874,3.5,425,0.2,1851883,7062213,26.2
