"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-03-31","Andalucía",240454,413516,58.1,12788,650381,2.0,41807,916147,4.6,70600,1265021,5.6,130009,3009381,4.3,11689,625846,1.9,83,181921,0.0,507430,7062213,7.2
"2021-03-31","Aragón",40245,98807,40.7,3048,118955,2.6,9273,156367,5.9,13854,198266,7.0,21412,446083,4.8,1421,89180,1.6,25,25106,0.1,89278,1132764,7.9
"2021-03-31","Asturias",37353,87826,42.5,3490,109249,3.2,9709,149652,6.5,13411,162645,8.2,20796,322095,6.5,2310,54179,4.3,24,15563,0.2,87093,901209,9.7
"2021-03-31","Baleares",12403,49542,25.0,2088,80516,2.6,4856,117231,4.1,7551,165797,4.6,17352,464054,3.7,1229,85839,1.4,30,23300,0.1,45509,986279,4.6
"2021-03-31","Canarias",31183,90236,34.6,11216,154531,7.3,9016,235092,3.8,16806,350512,4.8,34123,832411,4.1,2349,163899,1.4,19,44352,0.0,104712,1871033,5.6
"2021-03-31","Cantabria",22177,41042,54.0,1660,53066,3.1,3704,77345,4.8,5521,89964,6.1,10397,194241,5.4,594,34935,1.7,3,10791,0.0,44056,501384,8.8
"2021-03-31","Castilla y Leon",96294,223657,43.1,8627,245410,3.5,19766,318575,6.2,29602,381175,7.8,41137,738950,5.6,2562,144422,1.8,76,40684,0.2,198064,2092873,9.5
"2021-03-31","Castilla la Mancha",46971,135194,34.7,5152,159101,3.2,12955,218444,5.9,21394,307478,7.0,33077,707865,4.7,3231,149518,2.2,74,42364,0.2,122854,1719964,7.1
"2021-03-31","Cataluña",145808,447196,32.6,24886,635292,3.9,45494,837584,5.4,64998,1091780,6.0,124126,2803626,4.4,15543,556316,2.8,188,159864,0.1,421043,6531658,6.4
"2021-03-31","C. Valenciana",114569,276531,41.4,9437,437862,2.2,22540,580728,3.9,32935,752334,4.4,66891,1765967,3.8,5059,352834,1.4,83,103049,0.1,251514,4269305,5.9
"2021-03-31","Extremadura",32370,76005,42.6,2950,91876,3.2,7139,125297,5.7,12180,169216,7.2,19080,351778,5.4,876,76088,1.2,34,20953,0.2,74629,911213,8.2
"2021-03-31","Galicia",72998,234302,31.2,3853,289762,1.3,15775,346927,4.5,22833,405889,5.6,37642,889004,4.2,1424,152745,0.9,3,44014,0.0,154528,2362643,6.5
"2021-03-31","La Rioja",9716,22207,43.8,651,28125,2.3,2307,37718,6.1,3284,47664,6.9,4639,107618,4.3,367,21170,1.7,2,6286,0.0,20966,270788,7.7
"2021-03-31","Madrid",153495,364122,42.2,7232,526081,1.4,28868,703323,4.1,49567,972783,5.1,108004,2513737,4.3,12694,479716,2.6,35,135861,0.0,359895,5695623,6.3
"2021-03-31","Murcia",32677,69771,46.8,2214,102899,2.2,7346,146909,5.0,13654,213256,6.4,27191,551265,4.9,2479,118667,2.1,94,34712,0.3,85655,1237479,6.9
"2021-03-31","Navarra",11329,41166,27.5,1718,55792,3.1,3958,73844,5.4,7389,96694,7.6,12035,223028,5.4,876,48505,1.8,4,13906,0.0,37309,552935,6.7
"2021-03-31","País Vasco",37980,157950,24.0,3360,213081,1.6,11091,280119,4.0,19548,339977,5.7,30857,724849,4.3,2696,140323,1.9,2,41824,0.0,105534,1898123,5.6
"2021-03-31","Ceuta",1564,2605,60.0,368,4318,8.5,306,7857,3.9,510,11556,4.4,810,30066,2.7,43,7581,0.6,0,2175,0.0,3601,66158,5.4
"2021-03-31","Melilla",856,2349,36.4,56,3748,1.5,248,7827,3.2,428,11299,3.8,774,30095,2.6,55,8536,0.6,6,2324,0.3,2423,66178,3.7
"2021-03-31","España",1140442,2834024,40.2,104798,3960045,2.6,256588,5336986,4.8,407083,7033306,5.8,743757,16706113,4.5,67631,3310299,2.0,785,949049,0.1,2721084,40129822,6.8
"2021-04-01","Andalucía",246229,413516,59.5,13404,650381,2.1,41934,916147,4.6,70731,1265021,5.6,130472,3009381,4.3,11779,625846,1.9,83,181921,0.0,514632,7062213,7.3
"2021-04-01","Aragón",44314,98807,44.8,3135,118955,2.6,9329,156367,6.0,13907,198266,7.0,21487,446083,4.8,1430,89180,1.6,25,25106,0.1,93627,1132764,8.3
"2021-04-01","Asturias",39438,87826,44.9,3575,109249,3.3,9848,149652,6.6,13510,162645,8.3,20890,322095,6.5,2318,54179,4.3,25,15563,0.2,89604,901209,9.9
