"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_25-39","por_25-39","vac_18-24","por_18-24","vac_16-17","por_16-17","tot_vac","pobl_tot","por_tot" 
"2021-06-07","Melilla",1930,82.2,3130,83.5,6387,81.6,8170,72.3,7611,63.4,2058,11.4,327,3.8,7,0.3,29620,66178,44.8
"2021-06-07","España",2907440,100.0,3868877,97.7,4894122,91.7,5346949,76.0,1407095,17.8,1120425,12.7,238578,7.2,3088,0.3,19786574,40129822,49.3
"2021-06-08","Andalucía",430250,100.0,640982,98.6,839807,91.7,1027755,81.2,307691,22.2,195106,12.0,41128,6.6,581,0.3,3483300,7062213,49.3
"2021-06-08","Aragón",100498,100.0,117362,98.7,147173,94.1,158325,79.9,50626,23.6,34360,14.9,7732,8.7,72,0.3,616148,1132764,54.4
"2021-06-08","Asturias",88223,100.0,112871,100.0,139479,93.2,133544,82.1,34399,20.6,20936,13.5,4713,8.7,54,0.3,534219,901209,59.3
"2021-06-08","Baleares",50529,100.0,76750,95.3,97612,83.3,123598,74.5,62148,30.1,27542,10.7,4630,5.4,45,0.2,442854,986279,44.9
"2021-06-08","Canarias",90913,100.0,146210,94.6,204528,87.0,247741,70.7,110538,28.5,50659,11.4,8496,5.2,97,0.2,859182,1871033,45.9
"2021-06-08","Cantabria",42063,100.0,55396,100.0,72119,93.2,64528,71.7,18958,19.4,12761,13.2,1864,5.3,13,0.1,267702,501384,53.4
"2021-06-08","Castilla y León",228125,100.0,247816,100.0,304473,95.6,248016,65.1,54685,15.1,48557,12.9,9544,6.6,126,0.3,1141342,2092873,54.5
"2021-06-08","Castilla la Mancha",136991,100.0,156507,98.4,206037,94.3,251114,81.7,84151,25.5,41247,10.9,8133,5.4,115,0.3,884295,1719964,51.4
"2021-06-08","Cataluña",453879,100.0,606022,95.4,713206,85.2,821060,75.2,245532,18.6,182977,12.3,50677,9.1,966,0.6,3074319,6531658,47.1
"2021-06-08","C. Valenciana",293904,100.0,426574,97.4,524628,90.3,531218,70.6,114232,13.4,108874,11.9,21882,6.2,201,0.2,2021513,4269305,47.3
"2021-06-08","Extremadura",77928,100.0,95126,100.0,127843,100.0,138567,81.9,31301,19.6,23660,12.3,2971,3.9,76,0.4,497472,911213,54.6
"2021-06-08","Galicia",240057,100.0,286311,98.8,330818,95.4,368059,90.7,64831,14.6,49519,11.1,6836,4.5,45,0.1,1346476,2362643,57.0
"2021-06-08","La Rioja",23280,100.0,28409,100.0,36586,97.0,38878,81.6,7855,14.8,7634,14.0,1581,7.5,10,0.2,144233,270788,53.3
"2021-06-08","Madrid",369899,100.0,502329,95.5,672424,95.6,778487,80.0,164628,14.1,182030,13.5,35560,7.4,477,0.4,2705834,5695623,47.5
"2021-06-08","Murcia",73019,100.0,99827,97.0,129598,88.2,169632,79.5,55844,22.0,32245,10.9,7782,6.6,155,0.4,568102,1237479,45.9
"2021-06-08","Navarra",42335,100.0,55491,99.5,70226,95.1,87932,90.9,27252,25.2,16067,14.0,4000,8.2,11,0.1,303314,552935,54.9
"2021-06-08","País Vasco",161763,100.0,209611,98.4,271247,96.8,260884,76.7,51594,14.2,52664,14.5,13313,9.5,51,0.1,1021127,1898123,53.8
"2021-06-08","Ceuta",2358,90.5,3751,86.9,6883,87.6,9632,83.4,8845,70.0,2232,12.8,597,7.9,10,0.5,34308,66158,51.9
"2021-06-08","Melilla",1931,82.2,3131,83.5,6363,81.3,8158,72.2,7606,63.4,2055,11.4,327,3.8,7,0.3,29578,66178,44.7
"2021-06-08","España",2907975,100.0,3870489,97.7,4904359,91.9,5475622,77.9,1520853,19.3,1125620,12.8,240131,7.3,3125,0.3,20048174,40129822,50.0
"2021-06-09","Andalucía",430319,100.0,641226,98.6,842243,91.9,1045657,82.7,352328,25.4,196058,12.1,41424,6.6,591,0.3,3549846,7062213,50.3
"2021-06-09","Aragón",100506,100.0,117398,98.7,147423,94.3,160360,80.9,55455,25.8,34456,14.9,7753,8.7,75,0.3,623426,1132764,55.0
"2021-06-09","Asturias",88232,100.0,112910,100.0,139860,93.5,135492,83.3,42792,25.6,21103,13.6,4741,8.8,57,0.4,545187,901209,60.5
"2021-06-09","Baleares",50542,100.0,76796,95.4,98248,83.8,125143,75.5,67063,32.5,27599,10.7,4637,5.4,45,0.2,450073,986279,45.6
"2021-06-09","Canarias",90959,100.0,146314,94.7,204893,87.2,251030,71.6,118148,30.5,51503,11.6,8556,5.2,98,0.2,871501,1871033,46.6
"2021-06-09","Cantabria",42066,100.0,55404,100.0,72260,93.4,66166,73.5,20199,20.7,12804,13.3,1872,5.4,13,0.1,270784,501384,54.0
"2021-06-09","Castilla y León",228150,100.0,247870,100.0,304783,95.7,268170,70.4,56328,15.5,48685,13.0,9578,6.6,126,0.3,1163690,2092873,55.6
"2021-06-09","Castilla la Mancha",137023,100.0,156571,98.4,206350,94.5,254406,82.7,91557,27.7,41464,11.0,8160,5.5,116,0.3,895647,1719964,52.1
"2021-06-09","Cataluña",454001,100.0,606378,95.4,715026,85.4,831580,76.2,273135,20.7,184455,12.4,51204,9.2,976,0.6,3116755,6531658,47.7
"2021-06-09","C. Valenciana",293970,100.0,426792,97.5,525743,90.5,550303,73.1,124597,14.6,109119,11.9,21987,6.2,213,0.2,2052724,4269305,48.1
