"fecha","Comunidad","vac_80+","pobl_80+","por_80+","vac_70-79","pobl_70-79","por_70-79","vac_60-69","pobl_60-69","por_60-69","vac_50-59","pobl_50-59","por_50-59","vac_25-49","pobl_25-49","por_25-49","vac_18-24","pobl_18-24","por_18-24","vac_16-17","pobl_16-17","por_16-17","tot_vac","pobl_tot","por_tot"
"2021-04-01","Castilla la Mancha",99503,135194,73.6,6609,159101,4.2,17253,218444,7.9,36035,307478,11.7,68206,707865,9.6,5534,149518,3.7,91,42364,0.2,233231,1719964,13.6
"2021-04-01","Cataluña",285022,447196,63.7,38673,635292,6.1,159902,837584,19.1,122476,1091780,11.2,281598,2803626,10.0,33598,556316,6.0,279,159864,0.2,921548,6531658,14.1
"2021-04-01","C. Valenciana",232661,276531,84.1,12527,437862,2.9,36414,580728,6.3,83079,752334,11.0,184064,1765967,10.4,15542,352834,4.4,106,103049,0.1,564393,4269305,13.2
"2021-04-01","Extremadura",68112,76005,89.6,5102,91876,5.6,20499,125297,16.4,20453,169216,12.1,38628,351778,11.0,2031,76088,2.7,42,20953,0.2,154867,911213,17.0
"2021-04-01","Galicia",160548,234302,68.5,5018,289762,1.7,18048,346927,5.2,58091,405889,14.3,91029,889004,10.2,3736,152745,2.4,3,44014,0.0,336473,2362643,14.2
"2021-04-01","La Rioja",16134,22207,72.7,738,28125,2.6,6613,37718,17.5,6482,47664,13.6,12688,107618,11.8,1244,21170,5.9,7,6286,0.1,43906,270788,16.2
"2021-04-01","Madrid",250520,364122,68.8,14434,526081,2.7,64122,703323,9.1,102022,972783,10.5,263816,2513737,10.5,21087,479716,4.4,82,135861,0.1,716083,5695623,12.6
"2021-04-01","Murcia",56696,69771,81.3,2945,102899,2.9,10130,146909,6.9,24302,213256,11.4,57357,551265,10.4,6934,118667,5.8,103,34712,0.3,158467,1237479,12.8
"2021-04-01","Navarra",33340,41166,81.0,1892,55792,3.4,5342,73844,7.2,12651,96694,13.1,25323,223028,11.4,3199,48505,6.6,4,13906,0.0,81751,552935,14.8
"2021-04-01","País Vasco",98754,157950,62.5,4108,213081,1.9,21099,280119,7.5,45257,339977,13.3,85442,724849,11.8,10771,140323,7.7,6,41824,0.0,265437,1898123,14.0
"2021-04-01","Ceuta",1725,2605,66.2,422,4318,9.8,464,7857,5.9,1419,11556,12.3,3342,30066,11.1,253,7581,3.3,0,2175,0.0,7625,66158,11.5
"2021-04-01","Melilla",1473,2349,62.7,1159,3748,30.9,573,7827,7.3,1463,11299,12.9,3139,30095,10.4,177,8536,2.1,6,2324,0.3,7990,66178,12.1
"2021-04-01","España",2126877,2834024,75.0,165201,3960045,4.2,544513,5336986,10.2,803275,7033306,11.4,1745608,16706113,10.4,158574,3310299,4.8,1092,949049,0.1,5545140,40129822,13.8
"2021-04-03","Andalucía",395442,413516,95.6,30501,650381,4.7,75084,916147,8.2,135587,1265021,10.7,319234,3009381,10.6,25655,625846,4.1,154,181921,0.1,981657,7062213,13.9
"2021-04-03","Aragón",75171,98807,76.1,3747,118955,3.1,12623,156367,8.1,23857,198266,12.0,47850,446083,10.7,5551,89180,6.2,28,25106,0.1,168827,1132764,14.9
"2021-04-03","Asturias",73847,87826,84.1,4395,109249,4.0,19750,149652,13.2,19635,162645,12.1,29858,322095,9.3,2883,54179,5.3,30,15563,0.2,150398,901209,16.7
"2021-04-03","Baleares",38747,49542,78.2,2354,80516,2.9,17520,117231,14.9,19928,165797,12.0,41665,464054,9.0,3535,85839,4.1,32,23300,0.1,123781,986279,12.6
"2021-04-03","Canarias",57395,90236,63.6,17200,154531,11.1,38611,235092,16.4,26734,350512,7.6,63880,832411,7.7,5603,163899,3.4,28,44352,0.1,209451,1871033,11.2
"2021-04-03","Cantabria",33722,41042,82.2,1907,53066,3.6,5555,77345,7.2,10789,89964,12.0,22006,194241,11.3,1537,34935,4.4,5,10791,0.0,75521,501384,15.1
"2021-04-03","Castilla y Leon",169165,223657,75.6,15610,245410,6.4,28110,318575,8.8,51229,381175,13.4,83006,738950,11.2,7121,144422,4.9,90,40684,0.2,354331,2092873,16.9
"2021-04-03","Castilla la Mancha",107482,135194,79.5,7155,159101,4.5,20691,218444,9.5,38408,307478,12.5,71938,707865,10.2,5615,149518,3.8,91,42364,0.2,251380,1719964,14.6
"2021-04-03","Cataluña",285022,447196,63.7,38673,635292,6.1,159902,837584,19.1,122476,1091780,11.2,281598,2803626,10.0,33598,556316,6.0,279,159864,0.2,921548,6531658,14.1
"2021-04-03","C. Valenciana",247144,276531,89.4,13987,437862,3.2,38514,580728,6.6,88644,752334,11.8,196778,1765967,11.1,17136,352834,4.9,107,103049,0.1,602310,4269305,14.1
"2021-04-03","Extremadura",68236,76005,89.8,5203,91876,5.7,21620,125297,17.3,20697,169216,12.2,39191,351778,11.1,2064,76088,2.7,42,20953,0.2,157053,911213,17.2
"2021-04-03","Galicia",174523,234302,74.5,5045,289762,1.7,19213,346927,5.5,59444,405889,14.6,91532,889004,10.3,3816,152745,2.5,3,44014,0.0,353576,2362643,15.0
"2021-04-03","La Rioja",16149,22207,72.7,738,28125,2.6,6614,37718,17.5,6485,47664,13.6,12689,107618,11.8,1244,21170,5.9,8,6286,0.1,43927,270788,16.2
"2021-04-03","Madrid",250534,364122,68.8,14469,526081,2.8,95967,703323,13.6,102081,972783,10.5,264030,2513737,10.5,21396,479716,4.5,82,135861,0.1,748559,5695623,13.1
"2021-04-03","Murcia",60203,69771,86.3,2979,102899,2.9,13277,146909,9.0,24732,213256,11.6,57686,551265,10.5,6947,118667,5.9,103,34712,0.3,165927,1237479,13.4
"2021-04-03","Navarra",33340,41166,81.0,1892,55792,3.4,5342,73844,7.2,12651,96694,13.1,25323,223028,11.4,3199,48505,6.6,4,13906,0.0,81751,552935,14.8
"2021-04-03","País Vasco",98754,157950,62.5,4108,213081,1.9,21099,280119,7.5,45257,339977,13.3,85442,724849,11.8,10771,140323,7.7,6,41824,0.0,265437,1898123,14.0
"2021-04-03","Ceuta",1725,2605,66.2,422,4318,9.8,464,7857,5.9,1419,11556,12.3,3342,30066,11.1,253,7581,3.3,0,2175,0.0,7625,66158,11.5
"2021-04-03","Melilla",1473,2349,62.7,1159,3748,30.9,573,7827,7.3,1463,11299,12.9,3139,30095,10.4,177,8536,2.1,6,2324,0.3,7990,66178,12.1
"2021-04-03","España",2188074,2834024,77.2,171548,3960045,4.3,601711,5336986,11.3,816240,7033306,11.6,1767706,16706113,10.6,161073,3310299,4.9,1098,949049,0.1,5707450,40129822,14.2
"2021-04-05","Andalucía",396168,413516,95.8,34176,650381,5.3,83158,916147,9.1,135867,1265021,10.7,319567,3009381,10.6,25892,625846,4.1,154,181921,0.1,994982,7062213,14.1
