"fecha","Comunidad","vac_80+","por_80+","vac_70-79","por_70-79","vac_60-69","por_60-69","vac_50-59","por_50-59","vac_40-49","por_40-49","vac_30-39","por_30-39","vac_20-29","por_20-29","vac_12-19","por_12-19","vac_5-11","por_5-11","tot_vac","pobl_tot","por_tot"
"2021-06-21","Andalucía",430902,100.0,643015,98.9,866369,94.6,1110055,87.7,815665,58.9,177156,15.5,98743,10.6,4663,0.6,0,0,4146568,7451975,55.6
"2021-06-21","Aragón",100641,100.0,117832,99.1,147087,94.1,169774,85.6,112811,52.5,25525,15.5,16732,12.8,1242,1.2,0,0,691644,1185134,58.4
"2021-06-21","Asturias",88393,100.0,113318,100.0,141309,94.4,142169,87.4,110813,66.4,16352,14.3,10120,12.8,542,0.8,0,0,623016,933927,66.7
"2021-06-21","Baleares",50648,100.0,77122,95.8,98904,84.4,129050,77.8,114318,55.4,29890,16.4,11984,8.7,553,0.6,0,0,512469,1034867,49.5
"2021-06-21","Canarias",91268,100.0,147233,95.3,207177,88.1,272783,77.8,193342,49.8,54149,17.4,23665,9.4,993,0.6,0,0,990610,1960774,50.5
"2021-06-21","Cantabria",42143,100.0,55568,100.0,73459,95.0,76528,85.1,42158,43.1,9591,13.6,5394,10.7,141,0.3,0,0,304982,524127,58.2
"2021-06-21","Castilla y León",228341,100.0,248352,100.0,306654,96.3,331751,87.0,145754,40.1,36431,13.6,23757,11.3,829,0.5,0,0,1321869,2176253,60.7
"2021-06-21","Castilla la Mancha",137293,100.0,157059,98.7,210340,96.3,269885,87.8,205099,62.0,33888,12.7,19535,9.0,753,0.4,0,0,1033852,1808784,57.2
"2021-06-21","Cataluña",454957,100.0,609413,95.9,740565,88.4,910419,83.4,740054,56.2,143910,13.8,111080,13.2,8776,1.3,0,0,3719174,6868360,54.1
"2021-06-21","C. Valenciana",294574,100.0,428592,97.9,534726,92.1,622892,82.8,322306,37.8,78509,12.1,54225,10.5,2260,0.5,0,0,2338084,4488459,52.1
"2021-06-21","Extremadura",77988,100.0,95289,100.0,126626,100.0,152526,90.1,91086,57.1,17806,13.3,8922,7.9,331,0.4,0,0,570574,953437,59.8
"2021-06-21","Galicia",240682,100.0,288402,99.5,331826,95.6,368313,90.7,230534,52.0,38149,11.8,19902,8.6,359,0.2,0,0,1518167,2454497,61.9
"2021-06-21","La Rioja",23297,100.0,28458,100.0,36062,95.6,41423,86.9,20482,38.7,5289,13.5,3552,11.7,150,0.6,0,0,158713,283970,55.9
"2021-06-21","Madrid",370728,100.0,504196,95.8,652792,92.8,836690,86.0,350968,30.1,124224,13.1,84380,11.4,4098,0.7,0,0,2928076,5977937,49.0
"2021-06-21","Murcia",73233,100.0,101003,98.2,134456,91.5,185388,86.9,160550,63.2,23575,11.3,17249,10.0,817,0.6,0,0,696271,1310137,53.1
"2021-06-21","Navarra",42367,100.0,55589,99.6,68855,93.2,86347,89.3,68647,63.6,10831,13.3,8684,12.7,400,0.7,0,0,341720,581354,58.8
"2021-06-21","País Vasco",161958,100.0,210070,98.6,266530,95.1,295824,87.0,154245,42.6,36165,13.9,28154,14.0,1308,0.8,0,0,1154254,1983943,58.2
"2021-06-21","Ceuta",2360,90.6,3777,87.5,7013,89.3,9467,81.9,9097,72.0,4953,41.6,1161,10.6,110,1.2,0,0,37938,70965,53.5
"2021-06-21","Melilla",1947,82.9,3161,84.3,6544,83.6,8640,76.5,8480,70.7,4494,37.0,890,7.4,22,0.2,0,0,34178,70927,48.2
"2021-06-21","España",2913751,100.0,3887462,98.2,4960631,92.9,6028828,85.7,3915782,49.6,896976,14.4,567987,11.5,29149,0.7,0,0,23200566,42119827,55.1
"2021-06-22","Andalucía",430939,100.0,643154,98.9,867504,94.7,1113118,88.0,859591,62.1,196582,17.2,100235,10.8,4902,0.7,0,0,4216025,7451975,56.6
"2021-06-22","Aragón",100644,100.0,117841,99.1,147129,94.1,169863,85.7,114560,53.3,25553,15.6,16754,12.8,1276,1.2,0,0,693620,1185134,58.5
"2021-06-22","Asturias",88405,100.0,113329,100.0,141530,94.6,142917,87.9,117004,70.1,17894,15.6,10132,12.8,556,0.9,0,0,631767,933927,67.6
"2021-06-22","Baleares",50658,100.0,77157,95.8,98949,84.4,129601,78.2,117918,57.2,33152,18.2,11998,8.7,559,0.6,0,0,519992,1034867,50.2
"2021-06-22","Canarias",91288,100.0,147305,95.3,207408,88.2,274285,78.3,200334,51.6,55070,17.7,23922,9.5,1051,0.6,0,0,1000663,1960774,51.0
"2021-06-22","Cantabria",42143,100.0,55568,100.0,73459,95.0,76528,85.1,42158,43.1,9591,13.6,5394,10.7,180,0.4,0,0,305021,524127,58.2
"2021-06-22","Castilla y León",228349,100.0,248398,100.0,306858,96.3,332827,87.3,157809,43.4,36562,13.7,23869,11.3,904,0.5,0,0,1335576,2176253,61.4
"2021-06-22","Castilla la Mancha",137296,100.0,157079,98.7,210673,96.4,270233,87.9,211801,64.1,37367,14.1,19708,9.0,786,0.5,0,0,1044943,1808784,57.8
"2021-06-22","Cataluña",454988,100.0,609562,95.9,742029,88.6,914040,83.7,784193,59.6,150810,14.4,111942,13.3,9204,1.4,0,0,3776768,6868360,55.0
"2021-06-22","C. Valenciana",294581,100.0,428624,97.9,535002,92.1,623908,82.9,327541,38.5,78552,12.1,54261,10.5,2343,0.6,0,0,2344812,4488459,52.2
"2021-06-22","Extremadura",77991,100.0,95296,100.0,126662,100.0,152752,90.3,96460,60.5,17847,13.4,8945,7.9,348,0.4,0,0,576301,953437,60.4
"2021-06-22","Galicia",240752,100.0,288452,99.5,331937,95.7,368481,90.8,230810,52.1,38202,11.8,19923,8.6,370,0.2,0,0,1518927,2454497,61.9
"2021-06-22","La Rioja",23298,100.0,28465,100.0,36070,95.6,41449,87.0,20507,38.7,5289,13.5,3554,11.7,151,0.6,0,0,158783,283970,55.9
"2021-06-22","Madrid",370789,100.0,504343,95.9,653608,92.9,839987,86.3,375131,32.2,124546,13.1,84596,11.4,4163,0.8,0,0,2957163,5977937,49.5
"2021-06-22","Murcia",73248,100.0,101013,98.2,134546,91.6,186677,87.5,164853,64.9,23612,11.3,17262,10.0,883,0.6,0,0,702094,1310137,53.6
"2021-06-22","Navarra",42368,100.0,55597,99.7,68922,93.3,86453,89.4,73408,68.0,10980,13.5,8696,12.8,434,0.8,0,0,346858,581354,59.7
"2021-06-22","País Vasco",161890,100.0,210100,98.6,266552,95.2,296323,87.2,161928,44.7,36305,13.9,28193,14.0,1438,0.9,0,0,1162729,1983943,58.6
"2021-06-22","Ceuta",2360,90.6,3777,87.5,7017,89.3,9469,81.9,9102,72.0,5210,43.8,1170,10.7,110,1.2,0,0,38215,70965,53.9
"2021-06-22","Melilla",1950,83.0,3179,84.8,6635,84.8,8801,77.9,8508,70.9,4509,37.2,893,7.4,24,0.3,0,0,34499,70927,48.6
"2021-06-22","España",2913968,100.0,3888252,98.2,4965836,93.0,6046635,86.0,4093044,51.9,933825,15.0,571395,11.6,30489,0.8,0,0,23443444,42119827,55.7
"2021-06-23","Andalucía",430991,100.0,643299,98.9,868796,94.8,1115896,88.2,897998,64.8,218330,19.1,102025,11.0,4981,0.7,0,0,4282316,7451975,57.5
"2021-06-23","Aragón",100644,100.0,117863,99.1,147311,94.2,170130,85.8,120101,55.9,25693,15.6,16831,12.9,1295,1.3,0,0,699868,1185134,59.1
"2021-06-23","Asturias",88409,100.0,113339,100.0,141570,94.6,143042,87.9,121925,73.0,20907,18.3,10139,12.8,557,0.9,0,0,639888,933927,68.5
"2021-06-23","Baleares",50666,100.0,77193,95.9,99018,84.5,130141,78.5,121205,58.8,37311,20.5,12024,8.7,559,0.6,0,0,528117,1034867,51.0
"2021-06-23","Canarias",91317,100.0,147433,95.4,207736,88.4,275999,78.7,206852,53.3,61477,19.8,24370,9.7,1068,0.6,0,0,1016252,1960774,51.8
"2021-06-23","Cantabria",42158,100.0,55598,100.0,73702,95.3,77327,86.0,48026,49.1,9623,13.7,5416,10.7,184,0.4,0,0,312034,524127,59.5
"2021-06-23","Castilla y León",228367,100.0,248443,100.0,307039,96.4,333131,87.4,175182,48.2,36758,13.7,23982,11.4,910,0.6,0,0,1353812,2176253,62.2
"2021-06-23","Castilla la Mancha",137311,100.0,157116,98.8,210932,96.6,270829,88.1,220141,66.6,42710,16.1,19894,9.1,801,0.5,0,0,1059734,1808784,58.6
"2021-06-23","Cataluña",455085,100.0,609832,96.0,745024,88.9,919116,84.2,819502,62.2,179924,17.2,113359,13.5,9500,1.4,0,0,3851342,6868360,56.1
"2021-06-23","C. Valenciana",294624,100.0,428748,97.9,535605,92.2,628240,83.5,350355,41.1,78865,12.2,54395,10.5,2360,0.6,0,0,2373192,4488459,52.9
"2021-06-23","Extremadura",77996,100.0,95310,100.0,126952,100.0,153021,90.4,103607,65.0,18624,14.0,9000,7.9,353,0.4,0,0,584863,953437,61.3
"2021-06-23","Galicia",240759,100.0,288458,99.5,331954,95.7,368508,90.8,255197,57.6,38227,11.8,19929,8.6,370,0.2,0,0,1543402,2454497,62.9
"2021-06-23","La Rioja",23298,100.0,28465,100.0,36071,95.6,41462,87.0,20516,38.7,5289,13.5,3555,11.7,151,0.6,0,0,158807,283970,55.9
