fecha,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+
2020-05-03,1.0,3.0,7.0,14.0,15.0,11.0,15.0,17.0,43.0,23.0
2020-05-04,1.0,2.0,1.0,9.0,9.0,11.0,7.0,6.0,2.0,1.0
2020-05-05,5.0,2.0,23.0,19.0,36.0,41.0,24.0,14.0,15.0,2.0
2020-05-06,3.0,7.0,24.0,33.0,44.0,49.0,34.0,15.0,21.0,12.0
2020-05-07,0.0,7.0,13.0,30.0,33.0,42.0,36.0,12.0,16.0,7.0
2020-05-08,2.0,4.0,10.0,25.0,35.0,31.0,29.0,17.0,10.0,6.0
2020-05-09,2.0,0.0,17.0,25.0,29.0,37.0,30.0,13.0,8.0,3.0
2020-05-10,1.0,0.0,3.0,11.0,11.0,9.0,3.0,2.0,1.0,0.0
2020-05-11,2.0,1.0,3.0,10.0,9.0,10.0,9.0,5.0,6.0,1.0
2020-05-12,2.0,2.0,15.0,12.0,26.0,22.0,15.0,7.0,4.0,3.0
2020-05-13,4.0,1.0,10.0,9.0,25.0,19.0,10.0,13.0,14.0,4.0
2020-05-14,1.0,6.0,28.0,43.0,49.0,51.0,31.0,11.0,14.0,4.0
2020-05-15,2.0,3.0,15.0,40.0,23.0,18.0,21.0,8.0,9.0,5.0
2020-05-16,3.0,8.0,13.0,20.0,29.0,31.0,17.0,14.0,8.0,2.0
2020-05-17,0.0,2.0,2.0,5.0,11.0,10.0,3.0,7.0,3.0,1.0
2020-05-18,2.0,2.0,3.0,15.0,14.0,13.0,11.0,8.0,3.0,1.0
2020-05-19,3.0,3.0,5.0,17.0,17.0,14.0,17.0,13.0,7.0,4.0
2020-05-20,1.0,0.0,13.0,20.0,31.0,20.0,14.0,10.0,4.0,0.0
2020-05-21,1.0,6.0,8.0,16.0,31.0,29.0,23.0,23.0,20.0,7.0
2020-05-22,2.0,2.0,19.0,12.0,19.0,15.0,14.0,9.0,3.0,4.0
2020-05-23,1.0,7.0,14.0,23.0,18.0,26.0,16.0,18.0,8.0,2.0
2020-05-24,1.0,1.0,2.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0
2020-05-25,2.0,0.0,4.0,5.0,1.0,2.0,1.0,4.0,0.0,-3.0
2020-05-26,1.0,6.0,14.0,25.0,25.0,18.0,29.0,15.0,14.0,3.0
2020-05-27,2.0,7.0,7.0,25.0,48.0,34.0,30.0,24.0,11.0,-2.0
2020-05-28,6.0,3.0,9.0,17.0,29.0,20.0,21.0,10.0,4.0,1.0
2020-05-29,3.0,12.0,10.0,19.0,25.0,21.0,24.0,4.0,3.0,2.0
2020-05-30,3.0,3.0,7.0,8.0,9.0,15.0,10.0,15.0,4.0,2.0
2020-05-31,1.0,6.0,2.0,1.0,5.0,3.0,1.0,0.0,0.0,1.0
2020-06-01,1.0,6.0,8.0,16.0,16.0,13.0,9.0,5.0,1.0,0.0
2020-06-02,6.0,13.0,10.0,22.0,21.0,23.0,22.0,15.0,9.0,1.0
2020-06-03,4.0,5.0,14.0,16.0,20.0,13.0,15.0,7.0,6.0,-1.0
2020-06-04,4.0,5.0,14.0,21.0,27.0,23.0,17.0,12.0,8.0,2.0
2020-06-05,4.0,3.0,4.0,14.0,26.0,20.0,11.0,16.0,7.0,1.0
2020-06-06,3.0,3.0,12.0,7.0,11.0,20.0,7.0,13.0,-1.0,0.0
2020-06-07,2.0,0.0,6.0,5.0,7.0,4.0,2.0,3.0,4.0,1.0
2020-06-08,1.0,5.0,7.0,7.0,27.0,22.0,11.0,5.0,4.0,4.0
2020-06-09,1.0,3.0,8.0,7.0,17.0,17.0,23.0,14.0,1.0,1.0
2020-06-10,5.0,7.0,9.0,16.0,21.0,7.0,15.0,15.0,2.0,0.0
2020-06-11,4.0,1.0,10.0,15.0,20.0,23.0,17.0,15.0,17.0,3.0
2020-06-12,-1.0,5.0,6.0,13.0,23.0,25.0,24.0,15.0,9.0,0.0
2020-06-13,3.0,5.0,10.0,13.0,20.0,18.0,10.0,8.0,5.0,0.0
2020-06-14,1.0,2.0,1.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0
2020-06-15,0.0,3.0,8.0,10.0,12.0,3.0,6.0,5.0,2.0,0.0
2020-06-16,0.0,2.0,5.0,8.0,13.0,10.0,7.0,7.0,4.0,0.0
2020-06-17,3.0,3.0,8.0,5.0,11.0,17.0,12.0,7.0,3.0,1.0
2020-06-18,0.0,3.0,11.0,16.0,20.0,20.0,16.0,12.0,0.0,0.0
2020-06-19,0.0,6.0,6.0,15.0,16.0,12.0,5.0,10.0,-1.0,0.0
2020-06-20,2.0,3.0,5.0,13.0,21.0,16.0,11.0,11.0,5.0,2.0
2020-06-21,0.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0
2020-06-22,0.0,1.0,5.0,8.0,9.0,13.0,3.0,2.0,3.0,0.0
2020-06-23,3.0,3.0,5.0,5.0,14.0,12.0,8.0,4.0,3.0,1.0
2020-06-24,0.0,5.0,3.0,11.0,10.0,10.0,7.0,12.0,4.0,0.0
